"MidEast Pipes Co. — Steel Pipe Manufacturer, Cairo Period: 2022–2024",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Product Assumption,Unit,2022E,2023E,2024E,Forecast,,,,,,,
,,,,,,,,,,,,
Standard pipes:,EGP,,,,,,Standard Pipes COGS Drivers:,EGP,,,,
volume,,9000,9500,10000,5%,,Raw material,,6000,6500,7000,8%
price,,10000,"10,500","11,000",5%,,Direct Labor,,1200,1300,1400,8%
,,,,,,,Overhead,,700,730,760,4%
Heavy Duty Pipes;,EGP,,,,,,Total,,7900,8530,9160,7%
volume,,3000,3400,3800,12%,,,,,,,
price,,"15,000","15,500","16,000",3%,,,,,,,
,,,,,,,,,,,,
Fittings:,EGP,,,,,,Heavy Duty COGS Drivers:,EGP,,,,
volume,,36000,41000,46000,12%,,Raw material,,7200,7700,8400,9%
price,,500,600,700,17%,,Direct Labor,,1600,1700,1800,6%
,,,,,,,Overhead,,900,930,960,3%
Fittings COGS Drivers:,EGP,,,,,,Total,,9700,10330,11160,8%
Raw material,,180,195,210,8%,,,,,,,
Direct Labor,,60,63,66,5%,,,,,,,
Overhead,,35,36,37,3%,,,,,,,
Total,,275,294,313,6%,,,,,,,
,,,,,,,,,,,,
OPEX Driver,,,,,,,Balance Sheet Drivers:,EGP,2022A,,,
 Admin Salaries,,5%,,,,,A/R Days of Rev,,35,,,
S&M,,3%,,,,,Inventory Days of COGS,,45,,,
R&U,,3%,,,,,A/P Days of COGS,,45,,,
Other Opex,,2%,,,,,Fixed Assets,,"82,000,000",,,
,,,,,,,Deprecation - production,,"(3,500,000)",,,
Debt:,EGP,Amount,Rate,Annual Repayment,,,Deprecation - Admin,,"(1,400,000)",,,
Equipment Loan,,"32,000,000",10%,"3,500,000",,,Share Capital,,"51,000,000",,,
Working Capital,,"10,000,000",12%,"2,500,000",,,Accured Expenses,,2%,,,
,,,,,,,,,,,,
Tax Rate: ,,22.5%,,,,,,,,,,
,,,,,,,,,,,,
Fixed Assets Driver,EGP,Value,Useful Life Year,deprecation per year,,Year,Note,EGP,Capex,Useful Life,deprecation per year,
Manufacturing Equipment,,"45,000,000",15,"(3,000,000)",,2023,N/A,,0,N/A,N/A,
Factory Building,,"20,000,000",40,"(500,000)",,2024,Equipment Upgrade,,"10,000,000",25,"(400,000)",
Vehicles &Forklifts,,"8,000,000",8,"(1,000,000)",,2025F,N/A,,0,N/A,N/A,
Office Equipment & Furniture,,"4,000,000",10,"(400,000)",,2026F,Expansion,,"10,000,000",40,"(250,000)",
Land,,"5,000,000",N/A,N/A,,,,,,,,
Total,,,,"(4,900,000)",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
